Date,GBP_Rate,EUR_Rate,GBP_7DMA,EUR_7DMA,GBP_EUR_Ratio
2018-09-19,95.15,84.683,95.23457143,84.99445714,1.12360214
2018-09-21,94.9953,85.2535,95.21142857,84.97951429,1.114268622
2018-09-24,95.5016,85.6237,95.26787143,84.88982857,1.115364087
2018-09-25,95.7699,85.5365,95.32302857,84.75751429,1.119637815
2018-09-26,95.4347,85.0418,95.4784,84.68962857,1.122209314
2018-09-27,94.908,84.4428,95.70051429,84.69908571,1.123932413
2018-09-28,94.8825,84.3799,96.08914286,84.81635714,1.124468031
2018-10-01,94.988,84.5784,96.5768,85.03368571,1.123076341
2018-10-03,95.3904,84.6257,96.95761429,85.17312857,1.127203675
2018-10-04,95.8877,84.6975,97.19944286,85.29652857,1.132119602
2018-10-05,96.8575,85.0613,97.40587143,85.42188571,1.138678812
2018-10-08,96.9895,85.108,97.40742857,85.41027143,1.139604973
2018-10-09,97.6284,85.2637,97.21642857,85.27685714,1.145017164
2018-10-10,98.2961,85.9012,96.97387143,85.17818571,1.144292513
2018-10-11,97.6537,85.5545,96.58254286,84.97434286,1.141420966
2018-10-12,97.0832,85.4895,96.211,84.75132857,1.135615485
2018-10-15,97.3327,85.575,95.85897143,84.48822857,1.137396436
2018-10-16,96.8684,84.98,95.39005714,84.17861429,1.139896446
2018-10-17,95.6525,84.1741,95.01805714,83.99492857,1.136364986
2018-10-19,95.9305,84.573,94.80827143,83.92882857,1.134292268
2018-10-22,95.5568,84.4743,94.547,83.83625714,1.131193748
2018-10-23,95.0529,83.9934,94.44148571,83.72937143,1.13167106
2018-10-24,94.619,83.6478,94.39864286,83.6202,1.131159457
2018-10-25,94.0503,83.4077,94.45085714,83.56431429,1.127597332
2018-10-26,94.2644,83.6942,94.62967143,83.54367143,1.12629549
2018-10-29,94.184,83.7114,94.71671429,83.37585714,1.12510363
2018-10-30,94.1016,83.925,94.68967143,83.19301429,1.121258266
2018-10-31,94.8182,83.7261,94.60241429,82.86244286,1.132480792
2018-11-01,94.753,83.2292,94.44211429,82.5353,1.138458618
2018-11-02,94.9845,83.2566,94.32765714,82.33478571,1.140864508
2018-11-05,95.302,83.2632,93.89054286,82.0785,1.144587285
2018-11-06,94.8737,82.5195,93.44715714,81.88974286,1.149712492
2018-11-09,93.9947,82.4315,92.99658571,81.77077143,1.140276472
2018-11-12,93.4908,81.611,92.57481429,81.59317143,1.145566161
2018-11-13,93.6961,81.4361,92.16867143,81.40102857,1.150547484
2018-11-14,93.9518,81.8256,91.76021429,81.25597143,1.148195675
2018-11-15,91.9247,81.4626,91.21521429,80.97734286,1.12842826
2018-11-16,92.1983,81.9419,90.90295714,80.70841429,1.125166734
2018-11-19,91.7197,81.6867,90.45817143,80.3394,1.122822932
2018-11-20,91.0423,81.1883,90.08175714,80.00684286,1.121372168
2018-11-22,90.6478,80.266,89.8615,79.77832857,1.129342436
2018-11-26,90.8369,80.4207,89.71824286,79.75161429,1.129521379
2018-11-27,90.1368,79.8752,89.51951429,79.66817143,1.128470414
2018-11-28,89.7389,79.5801,89.54215714,79.76395714,1.127655029
2018-11-29,89.0848,79.3588,89.59677143,79.85601429,1.122557297
2018-11-30,89.0848,79.3588,89.85762857,80.17244286,1.122557297
2018-12-01,89.5005,79.5887,90.04931429,80.51154286,1.12453778
